env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time,most_used_template,learned_templates_count,total_templates
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,299,20.41765260696411,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,20.49715757369995,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.5515615940094,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.463131427764893,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,299,9.405805349349976,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.485511064529419,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.511474132537842,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.613315343856812,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.678321123123169,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.619938611984253,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.612383842468262,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.587946891784668,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.603681087493896,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.54617166519165,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.446228504180908,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.494700908660889,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.487955331802368,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.476570129394531,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.484386444091797,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.498272895812988,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.614704847335815,Obstacle Avoidance,0,2
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.826116800308228,Obstacle Avoidance,0,2
